Area,Key,Role,MaxChars,English,Somali (current),Somali (AI),Reviewer notes
Onboarding,setupOnboardingTitle,title,20,Set up your products,U habee alaabadaada,,
Onboarding,setupOnboardingBody,body,,"We added {count} items from the {template} template. You can start selling now — prices fill in as you sell.

Or take a minute to:","Waxaan kuugu darnay {count} alaab oo ka mid ah qaabka {template}. Hadda iibi waad bilaaban kartaa — qiimayaashu way buuxin doonaan markaad iibinayso.

Ama daqiiqad ku qaad:",,
Onboarding,setupOnboardingAddItemsTitle,title,20,Add my own items,Ku dar alaabadayda,,
Onboarding,setupOnboardingAddItemsBody,body,,Items the template didn't include,Alaabaha qaabku aanu lahayn,,
Onboarding,setupOnboardingSetPricesTitle,title,20,Set prices on top items,U dhig qiimayaal alaabta caanka ah,,
Onboarding,setupOnboardingSetPricesBody,body,,So sales don't pause for a price prompt,Si aanu iibku u dhabaalayn qiimo weydiin,,
Onboarding,setupOnboardingBrowseCatalogTitle,title,20,Browse the catalog,Eeg liiska guud,,
Onboarding,setupOnboardingBrowseCatalogBody,body,,Activate more items from our list,Ka dhaqaaji alaabo dheeraad ah liiskayaga,,
Onboarding,setupOnboardingSkipButton,button,18,SKIP — START SELLING,BOOD — BILOW IIBKA,,
Common,scanCameraTooltip,body,,Scan barcode,Akhri jeegga,,
Settings,scannerSheetTitle,title,20,Scan a barcode,Akhri jeegga,,
Settings,scannerTorchTooltip,body,,Torch,Iftiin,,
Settings,scannerHoldSteady,body,,Hold steady — 15 to 25 cm from the code,Si toosan u qabo — 15 ilaa 25 cm meel jeegga,,
Common,scanUnknownPillLabel,label,24,Unknown barcode: {code},Jeeg lama yaqaano: {code},,
Common,scanUnknownCreateAction,body,,Create new,Cusub abuur,,
Common,scanUnknownDismissAction,body,,Dismiss,Iska saar,,
Common,scanLookupFailed,body,,Couldn't look up that barcode,Jeegga lama heli karo,,
Common,multiScanSheetTitle,title,20,Multi-scan ({count}),Multi-akhri ({count}),,
Common,multiScanUnknownCount,body,,"{count, plural, =1{1 unknown code — review after} other{{count} unknown codes — review after}}","{count, plural, =1{1 jeeg lama yaqaano — eeg ka dib} other{{count} jeeg lama yaqaano — eeg ka dib}}",,
Common,multiScanEmptyHint,hint,,Aim at a barcode. Successful scans stage as lines below.,Jeegga camera-da hor dhig. Akhrida guul leh waxay galayaan liiska hoose.,,
Common,multiScanDoneAction,body,,DONE,DHAMAYE,,
Common,multiScanLongPressHint,hint,,Hold to multi-scan,Si dheer u taabo si aad u multi-akhrido,,
Common,multiScanAppliedSummary,body,,"{count, plural, =1{1 line staged} other{{count} lines staged}}","{count, plural, =1{1 saf la gallinay} other{{count} saf la galiyay}}",,
Common,barcodeScanAndBindAction,body,,Scan code,Akhri jeegga,,
Common,barcodeBoundToPackagingMessage,empty_error,,Code linked to this packaging,Jeegga waxa lagu xidhay shaandhada,,
Common,relativeTimeJustNow,body,,just now,hadda,,
Common,relativeTimeMinutesAgo,body,,"{minutes, plural, =1{1 min ago} other{{minutes} min ago}}","{minutes, plural, =1{1 daqiiqo ka hor} other{{minutes} daqiiqo ka hor}}",,
Common,relativeTimeHoursAgo,body,,"{hours, plural, =1{1 hr ago} other{{hours} hr ago}}","{hours, plural, =1{1 saac ka hor} other{{hours} saac ka hor}}",,
Common,relativeTimeDaysAgo,body,,"{days, plural, =1{1 day ago} other{{days} days ago}}","{days, plural, =1{1 maalin ka hor} other{{days} maalmood ka hor}}",,
Common,relativeTimeOn,body,,on {date},{date}-tii,,
Sale,saleHistoryVoidedSubtitle,body,,voided {when},la baabi'iyay {when},,
Parties,partyDetailEditedAt,body,,contact info edited {when},xog xidhiidh la beddelay {when},,
Common,offlineQueuePillLabel,label,24,"{count, plural, =1{Syncing 1} other{Syncing {count}}}","{count, plural, =1{Hubinta 1} other{Hubinta {count}}}",,
Settings,storageSyncTitle,title,20,Storage & sync,Kayd & is-waafajin,,
Settings,storageSyncStatusConnected,body,,Connected,Xidhan,,
Settings,storageSyncStatusOffline,body,,Offline,Aan xidhneyn,,
Settings,storageSyncLastSyncedLabel,label,24,Last synced,Is-waafajin u dambeysay,,
Settings,storageSyncLastSyncedNever,body,,Never,Welwaa,,
Settings,storageSyncPendingSalesLabel,label,24,Pending posts,Kuwa sugaya,,
Settings,storageSyncPendingCount,body,,"{count, plural, =0{none waiting} =1{1 waiting} other{{count} waiting}}","{count, plural, =0{midna} =1{1 sugaya} other{{count} sugaya}}",,
Settings,storageSyncFailedPermanentlyLabel,label,24,Failed permanently,Si rasmi ah u guul-darreystay,,
Settings,storageSyncFailedPermanentlyCount,body,,"{count, plural, =1{1 post} other{{count} posts}}","{count, plural, =1{1} other{{count}}}",,
Settings,storageSyncStorageUsedLabel,label,24,Storage used,Boos la isticmaalay,,
Settings,storageSyncStorageBreakdownPending,body,,Pending posts,Kuwa sugaya,,
Settings,storageSyncStorageBreakdownCached,body,,Cached data,Xog la kaydiyay,,
Settings,storageSyncSyncNowButton,button,18,Sync now,Is-waafaji hadda,,
Settings,storageSyncFreeUpSpaceButton,button,18,Free up space,Furfur booska,,
Settings,storageSyncFreeUpSpaceConfirmTitle,dialog_title,30,Clear cached data?,Tirtir xogta la kaydiyay?,,
Settings,storageSyncFreeUpSpaceConfirmBody,dialog_body,,This refreshes prices and lists from the server. Your saved sales aren't touched.,Tani waxay cusbooneysiisaa qiimaha iyo liiska serfarka. Iibyada aad kaydisay ma taabankaro.,,
Settings,storageSyncFreeUpSpaceConfirmAction,body,,CLEAR,TIRTIR,,
Settings,storageSyncResyncAllButton,button,18,Re-download all data,Dib u soo deji xogta oo dhan,,
Settings,storageSyncResyncConfirmTitle,dialog_title,30,Re-download all data?,Dib u soo deji xogta oo dhan?,,
Settings,storageSyncResyncConfirmBody,dialog_body,,"Fetches a fresh copy of items, customers, and recent transactions from the server. Your saved sales aren't touched.","Waxaa la soo dejinayaa nuqul cusub oo ka kooban alaab, macaamiil, iyo wax iibinta dhowaan. Iibyada aad kaydisay ma taabankaro.",,
Settings,storageSyncResyncConfirmAction,body,,RE-DOWNLOAD,DIB U SOO DEJI,,
Settings,storageSyncResyncDoneToast,toast,,Re-downloaded all data,Xogta oo dhan dib ayaa loo soo dejiyay,,
Settings,storageSyncResyncFailedToast,toast,,Couldn't re-download,Lama soo dejin karin,,
Settings,storageSyncCacheClearedToast,toast,,Cache cleared,Kaydka waa la tirtiray,,
Settings,storageSyncSyncedToast,toast,,"{count, plural, =0{Already up to date} =1{Synced 1 post} other{Synced {count} posts}}","{count, plural, =0{Horeyba u cusub} =1{1 la diray} other{{count} la diray}}",,
Settings,storageSyncSyncFailedToast,toast,,Could not sync — check your connection.,Lama waafajin karin — hubi xidhiidhka.,,
Settings,storageSyncAlreadyUpToDateToast,toast,,Already up to date,Hadda way cusub tahay,,
Settings,storageSyncPushedToast,toast,,"{count, plural, =1{Sent 1 pending} other{Sent {count} pending}}","{count, plural, =1{La diray 1 sugaya} other{La diray {count} sugaya}}",,
Settings,storageSyncPulledToast,toast,,"{count, plural, =1{Got 1 update} other{Got {count} updates}}","{count, plural, =1{La helay 1 cusbooneysiin} other{La helay {count} cusbooneysiin}}",,
Settings,storageSyncPushedAndPulledToast,toast,,"Sent {pushed} pending, got {pulled} updates","La diray {pushed} sugaya, la helay {pulled} cusbooneysiin",,
Settings,storageSyncResetButton,button,18,Reset local data,Dib u dejis xogta,,
Settings,storageSyncResetConfirmTitle,dialog_title,30,Reset local data?,Dib u dejis xogta maxalliga?,,
Settings,storageSyncResetConfirmBody,dialog_body,,This DELETES all data this device has downloaded from the server. Your shop's data will be re-downloaded on next sync. Any sales that haven't been sent will be lost. Only do this if support tells you to.,Tani waxay TIRTIRTAA dhammaan xogta uu taleefankaan ka soo dejiyey serverka. Xogta dukaankaaga waxaa dib loo soo dejin doonaa marka xiga ee la xidhiidho. Iibyada aan loo dirin server-ka way lumi doonaan. Tan hel kaliya marka taageerada ay ku weydiisto.,,
Settings,storageSyncResetTypePrompt,body,,Type RESET to confirm,Ku qor TIRTIR si aad u xaqiijiso,,
Settings,storageSyncResetTypeWord,body,,RESET,TIRTIR,,
Settings,storageSyncResetOfflineBlocker,body,,Connect to internet first — you have pending sales that need to send before reset.,Marka hore internet-ka ku xidh — waxaa jira iibyo sugaya in la diro server-ka kahor dib-u-dejinta.,,
Settings,storageSyncResetPendingFailedBlocker,body,,"{count, plural, =1{1 post couldn't send. Review it in Failed posts before reset.} other{{count} posts couldn't send. Review them in Failed posts before reset.}}","{count, plural, =1{1 dirka ayaa fashilmay. Eeg Iibyo guuldarreystay ka hor dib-u-dejinta.} other{{count} dir ayaa fashilmay. Eeg Iibyo guuldarreystay ka hor dib-u-dejinta.}}",,
Settings,storageSyncResetConfirmAction,body,,RESET,TIRTIR,,
Settings,storageSyncResetDoneToast,toast,,Local data reset. Downloading fresh data...,Xogta maxalliga waa la dib u dejiyey. Soo dejinta xog cusub...,,
Settings,storageSyncResetFailedToast,toast,,Reset failed,Dib-u-dejinta way fashilantay,,
Settings,storageSyncSettingsHeader,header,24,Settings,Dejinta,,
Settings,storageSyncWifiOnlyLabel,label,24,Sync only on Wi-Fi,Kaliya marka Wi-Fi jiro,,
Settings,storageSyncDrawerEntry,body,,Storage & sync,Kayd & is-waafajin,,
Menu,drawerManageCategories,body,,Categories,Qaybaha,,
Settings,manageCategoriesTitle,title,20,Categories,Qaybaha,,
Settings,manageCategoriesProductsTab,chip,12,Products,Alaabta,,
Settings,manageCategoriesExpensesTab,chip,12,Expenses,Kharashyada,,
Settings,manageCategoriesAdd,body,,Add category,Ku dar qayb,,
Settings,manageCategoriesEmpty,body,,No categories yet. Tap + to add one.,Wali qaybo ma jiraan. Taabo + si aad u darto.,,
Settings,manageCategoriesDefaultBadge,chip,12,Built-in,Nidaam,,
Settings,manageCategoriesNameLabel,label,24,Category name,Magaca qaybta,,
Settings,manageCategoriesNewTitle,title,20,New category,Qayb cusub,,
Settings,manageCategoriesRenameTitle,title,20,Rename category,Magac-beddel qaybta,,
Settings,manageCategoriesSave,body,,Save,Kaydi,,
Settings,manageCategoriesRename,body,,Rename,Magac beddel,,
Settings,manageCategoriesHide,body,,Hide,Qari,,
Settings,manageCategoriesHideConfirmTitle,dialog_title,30,Hide category?,Qari qaybta?,,
Settings,manageCategoriesHideConfirmBody,dialog_body,,It will no longer appear when adding or editing items. Items already using it keep it until you change them.,Mar dambe kama soo bixi doonto marka aad alaab dartid ama wax ka beddeshid. Alaabta hadda isticmaasha way sii haysanaysaa ilaa aad beddesho.,,
Common,failedPostsTitle,title,20,Failed posts,Kuwa guul-darreystay,,
Common,failedPostsRetryButton,button,18,RETRY,MAR KALE,,
Common,failedPostsDiscardButton,button,18,DISCARD,TUUR,,
Common,failedPostsDiscardConfirmTitle,dialog_title,30,Discard this post?,Tuur kan?,,
Common,failedPostsDiscardConfirmBody,dialog_body,,You can't recover it. Continue?,Ma soo celin kartid. Sii wad?,,
Common,failedPostsDiscardConfirmAction,body,,DISCARD,TUUR,,
Common,failedPostsEmptyState,body,,No failed posts.,Wax guul-darreystay ma jiro.,,
Common,syncFirstTimeSetupTitle,title,20,Connect to load your shop's data,Ku xidh internet si aad u soo dejiso xogta dukaankaaga,,
Common,syncFirstTimeSetupBody,body,,"We need to fetch your items, customers, and recent transactions one time before you can work offline. Open Wi-Fi or mobile data, then tap Retry.","Waxaan mar u baahanahay inaan soo dejino alaabtaada, macaamiishaada, iyo wax iibinta dhowaan ka hor inta aanad shaqayn karin marka aad offline-tahay. Fur Wi-Fi ama internet-ka taleefanka, ka dibna taabo MAR KALE.",,
Common,syncFirstTimeSetupRetryButton,button,18,RETRY,MAR KALE,,
Common,syncFirstTimeLoadingTitle,title,20,Setting up your shop…,Dukaankaaga waa la diyaarinayaa…,,
Common,syncFirstTimeLoadingBody,body,,"Loading your items, customers, and recent activity. This only happens once.","Waxaa la soo dejinayaa alaabtaada, macaamiishaada, iyo dhaqdhaqaaqyada dhowaan. Tani hal mar ayey dhacaysaa.",,
Common,syncIssueBannerLabel,label,24,⚠ Working offline since {time}. Tap to retry sync.,⚠ Offline tan iyo {time}. Taabo si aad mar kale isku daydid.,,
Common,syncForceSyncingToast,toast,,Syncing…,Waa la diraaya…,,
Common,syncForceSyncedToast,toast,,"{count, plural, =0{Already up to date} =1{Synced 1 update} other{Synced {count} updates}}","{count, plural, =0{Horeyba u cusub} =1{1 cusboonaysiis la diray} other{{count} cusboonaysiis la diray}}",,
Common,syncForceFailedToast,toast,,Couldn't sync — try again later.,Lama is-waafajin karin — mar kale isku day.,,
